Team1,Team2,Team1_Win_Percentage,Team2_Win_Percentage
Baylor,Brigham Young,100.0,0.0
Baylor,Clemson,100.0,0.0
Baylor,Colgate,100.0,0.0
Baylor,College of Charleston,100.0,0.0
Baylor,Colorado,100.0,0.0
Baylor,Colorado State,100.0,0.0
Baylor,Connecticut,100.0,0.0
Baylor,Creighton,100.0,0.0
Baylor,Dayton,100.0,0.0
Baylor,Drake,100.0,0.0
Baylor,Duke,100.0,0.0
Baylor,Duquesne,100.0,0.0
Baylor,Florida,99.78,0.21999999999999886
Baylor,Florida Atlantic,100.0,0.0
Baylor,Gonzaga,100.0,0.0
Baylor,Grambling,100.0,0.0
Baylor,Grand Canyon,100.0,0.0
Baylor,Houston,100.0,0.0
Baylor,Howard,100.0,0.0
Baylor,Illinois,99.82,0.18000000000000682
Baylor,Iowa State,100.0,0.0
Baylor,James Madison,100.0,0.0
Baylor,Kansas,100.0,0.0
Baylor,Kentucky,100.0,0.0
Baylor,Long Beach State,100.0,0.0
Baylor,Longwood,100.0,0.0
Baylor,Marquette,100.0,0.0
Baylor,McNeese State,100.0,0.0
Baylor,Michigan State,100.0,0.0
Baylor,Mississippi State,100.0,0.0
Baylor,Montana State,100.0,0.0
Baylor,Morehead State,100.0,0.0
Baylor,NC State,100.0,0.0
Baylor,Nebraska,100.0,0.0
Baylor,Nevada,100.0,0.0
Baylor,New Mexico,100.0,0.0
Baylor,North Carolina,100.0,0.0
Baylor,Northwestern,100.0,0.0
Baylor,Oakland,100.0,0.0
Baylor,Oregon,100.0,0.0
Baylor,Purdue,89.2,10.799999999999997
Baylor,Saint Mary's (CA),100.0,0.0
Baylor,Saint Peter's,100.0,0.0
Baylor,Samford,100.0,0.0
Baylor,San Diego State,100.0,0.0
Baylor,South Carolina,100.0,0.0
Baylor,South Dakota State,100.0,0.0
Baylor,Stetson,100.0,0.0
Baylor,TCU,100.0,0.0
Baylor,Tennessee,100.0,0.0
Baylor,Texas,100.0,0.0
Baylor,Texas A&M,100.0,0.0
Baylor,Texas Tech,100.0,0.0
Baylor,UAB,100.0,0.0
Baylor,Utah State,100.0,0.0
Baylor,Vermont,100.0,0.0
Baylor,Virginia,100.0,0.0
Baylor,Wagner,100.0,0.0
Baylor,Washington State,100.0,0.0
Baylor,Western Kentucky,100.0,0.0
